,댓글
178,형 진심이야?
179,오빠 멋져요❤️
180,저거 한 2일 가려낭ㅎㅎ
181,머-돼-독-지
182,사랑해요❣️
183,좋은 에너지 많이 뿜으시네
184,5번째 사진이 제일 잘나왔다
185,여자 분 누구세요? ㅎㅎ
186,저어기 어딘지 안다능
187,남친짤 후욱후욱
188,@i_hyun_seong
189,ㅁㄷㄱㄷ
190,ㅁㄷㄱㄷ
191,커엽..
192,생일축해~❤️
193,?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ귀여지 마셈😂
194,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
195,머돚👍👍👍
196,옆에 1명이라도 있지? 나는왼지 아니야... 애기안 할께.... ㅠㅠㅜㅜㅜㅠㅠ
197,머도기형♡♡♡
198,쓰sssssssss~ 머도기다 !
199,진수 사랑해❤️
200,ㄹㅇㅊㅊ
201,옆에 아들이신가요?
202,생일 축하합니다~람쥐🐿
203,아미친 진박아 귀엽ㄷㅏ ㅋㅋㅋㅋㅋㅋㅋㅋ
204,@dpwls_924_ 와 가면뒤 저사람을 내가 좋아했었다지??
205,아.......
206,@cyka_blyat_19 캬컄
207,ㅋㅋ
208,송영길씨 반가워요
209,우리 머도기 짱을 돌려줘!!
210,과거:돼지새ㅋ
211,송영길 형님ㅋㅋㅋ
212,둘다 귀엽누 ㅋㅋㅋㅋㅋ
213,파산한 류승룡
214,ㄷㄷ 인간은 적응의 동물.
215,무서
216,둘이 잘어울린다
217,'fat and mute'
218,형이 더 이쁘네
219,ㅋㅋㅋㅋㅋㅋㅋㅋ
220,@hineoh 아 둘조합ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
221,주다사 ×좀 비(만)
222,❤️❤️🔥🔥👏👏
223,@woooggi2 ㅋㅋㅋㅋㅋ 아 ㅋㅋㅋㅋㅋ
224,개귀여워 ㅇㅁㅇ!!
225,오오어오
226,:0😮😮
227,왤캐 신났어 ㅋㅋㅋㅋ
228,@cheer_up_mr.la 형 ??
229,@b071h_37
230,형이 더 이쁘네
231,좀비
232,@ga_eun_720
233,@greebee 주다사
234,머독 부럽다 진짜
235,@sujeong.123
236,3번째사진 둘다 너무 커엽ㅋㄱㅋ
237,@conormsp 야 주다사 너무 이쁨 ㅅㅂ ㄷ ㄷ ㄷ ㄷ
238,@leed_hyeon 뒤에 아이마스
239,오호 ~ 류승룡씨 아니십니꺼~?
240,형 잘생긴 깡패같아
241,힘의길님ㅋㅋㅋㅋㅋㅋㅋㅋ 눈만보고 서프라이즈 배우님인줄ㅋㅋㅋㅋㅋㅋㅋㅋ
242,안녕하세요 꽈뚜룹보다 잘생긴 박퉁퉁씨
243,뭐야 수염 가리면 잘생겼자너
244,꽐루
245,다시 봐도 귀엽다
246,신동 인줄
247,눈이 뭔가 서프라이즈 재연배우 그 잘생긴 역할 그분 닮았다 신기해
248,🔥🔥🔥
249,데이브인줄ㅋㅋ
250,@mindoongsan
251,@cyka_blyat_19
252,ㅎㅇㅌㅎㅇㅌ!!
253,어이 주먹왕 날프! 설치지 말라구~><
254,형.... 형손은 족발이 아니야...
255,머독님 눈 앞에 저 왕만두는 뭔가요?
256,이야 주먹이 얼굴만하네
257,ㄹㅇ 랄프같네ㅋㅋㅋㅋㅋ
258,첫번째 사진 발이라서 저런 표정인줄 알았는데 족발이었네
259,어? 수염이다
260,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ저 사람들 겁나 커엽게 노시네
261,사랑햐
262,@b071h_37
263,귀여워!!!!!!!!!
264,나만 이해 못한건가?
265,ㅁㅊㅋㅋㅋㅋㅋ뭐야
266,푸하하하하하하👏👏
267,저요 퇴교하겠습니다
268,ㅋㅎㅌㅎㅋㅋㅋ
269,@chang___hee ㅋㄱㄲㅋㄱㅋㄱㅋㄱㅋㅋㅋㅋ
270,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
271,거수의 아이콘 ㅋㅋㅋㅋㅋㅋㅋㅋ
272,@na_seunghyeog ㅋㅋㅋㅋㅋㅋㅋㅋ 뭐야 개웃기다 ㅋㅋㅋㅋ
273,아니 머독님은 언제 퇴교 하셨어요?
274,미친ㅋㅋㅋㅋㅋ합성잘했닼ㅋㅋㅋㅋ
275,당신은 지금 몰라서 댓글을 보고 알아 챘을 것 이다.
276,개비싸잔아
277,기여어
278,진짜 안넘어지게 조심해...
279,@ssap_strong_yeshin_beast
280,@yonee_king 뭐여 원오브카인드 아니네..
281,나도 가지고싶다
282,@dainamic_inseng ㅈㄴ 캉산 느낌임 목소리도 ㅋㅋ
283,@_z_hen__
284,엉덩이에서 빛이난다!!!
285,아이엠 쏘리쏘리
286,히치하이커 같음
287,차가운달빛이 눈부셔 고개 숙이는밤
288,아니 사진 뭔데 다 잘나왔어 개빡치네 ㅋㅋㅋㅋㅋㅋㅋㅋ
289,머독형...정말로 수고 많았어 화이팅!!!
290,ㅁㄷㄱㄷ 〰️〰️
291,남친쨜이다!
292,진박이 같이 나왔당 기여워
293,@9n_6nd_9n 기여웍
294,기여옹
295,성공함?
296,ㅋㄹㅆㅅㅋㄹㅎㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎ머짱 와중에 마지막 사진 잘나왓엉
297,왤케 귀여워여 ㅋㅋㅋㅋㅋㅋㅋ
298,졸라귀엽다 필터 뭐쓰샸어여🤭
299,카와이~~~~~~~~~
300,ㅗㅜㅑ
301,ㅋㅋㅋㅋㅋㅋㅋ아웃겨
302,오빠 나 죽어...❤️
303,니팬티 문제있어?
304,@seohyoung_0402 진정한 ‘하의실종’
305,바지 어디갔어 ㅋㅋㅋㅋㅋㅋㅋㅋ
306,@__ciervo ㅋㅋㅋㅋ이러 봣냐
307,다개인주의야
308,🔥
309,형 너무 아쉬웠어 이대로 100만 가주아!!
310,형 퇴교했잖아
311,혼자서 하와이 느낌?
312,다
313,멋
314,머도기 사랑해
315,머도기소중해
316,형 다리 다쳤어?ㅠㅠ
317,머독님 키가...?
318,든-----든
319,병지형님 사복 월클이네
320,형 설마 이거 훈련 다 받은 사람이 모인거야? 머도기 형..?
321,민수님 잘생깃다 그 군바 말구....😢
322,이과장님 실화냐 ㅋㅋㅋ
323,이과장님 왜 여기에…?
324,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
325,@ao._.oa_
326,머도기형 왜 비키니 입었어?
327,아이돌 마스터 사랑이야?
328,@so_jwh 말한 짤 이거아녀?ㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
329,@lee_jeongjju
330,ㅋㄹㅋㅎㅎㅎㅌㅌㅎㅎㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎㅎㅋㅎㅋ아 너무 재밌다 형 이런거 자주올려줘
331,@ss0__0yy ㅅㅂㅋ̄̈ㅋ꙼̈ㅋ̆̎ㅋ̐̈ㅋ̊̈ㅋ꙼̈ㅋ̆̎ㅋ̐̈ㅋ̊̈ㅋ꙼̈ㅋ̆̎ㅋ̐̈ㅋ̊̈ㅋ̄̈ㅋ꙼̈ㅋ̆̎ㅋ̐̈ㅋ̊̈ㅋ꙼̈ㅋ̆̎ㅋ̐̈ㅋ̊̈ㅋ꙼̈ㅋ̆̎ㅋ̐̈ㅋ̊̈ㅋ̄̈ㅋ꙼̈ㅋ̆̎ㅋ̐̈ㅋ̊̈ㅋ꙼̈ㅋ̆̎ㅋ̐̈ㅋ̊̈ㅋ꙼̈ㅋ̆̎ㅋ̐̈ㅋ̊̈ㅋ̄̈ㅋ꙼̈ㅋ̆̎ㅋ̐̈ㅋ̊̈ㅋ꙼̈ㅋ̆̎ㅋ̐̈ㅋ̊̈ㅋ꙼̈ㅋ̆̎ㅋ̐̈ㅋ̊̈진짜 도랐냐구
332,@bleuange___
333,@92_yunwoo @1000zluck
334,@zi._.hyunn ㅋㄹㅋㄹㅋㄹㅋㄹ
335,@jaa_0o0 아니씨바 나 이거 왜 피드에 뜨는건뎈ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
336,아니 개웃기네 ㅋㅋㅋ
337,@nojamish 너 머독 좋아했지 않어?
338,@bbobbo030
339,@bleuange___
340,@yeseul196
341,@9904x2 @h_0_0_hs 앜ㅋㅋㅋㅋㅋㅁㅊㅋㅋㅋㅋㅋㅋ
342,@1000zluck @92_yunwoo
343,진짜 머드축제간줄알았어 진수형ㅋㅋㅋ
344,페북에서도 봄 ㅋㅋ
345,@gpdud_0119
346,@moon_cry_s_tal 아 썅 진짜 ㄱㅇㄱ ㅠ
347,아겁나 웃기네 ㅋㅋㅋㅋㅋ
348,이게 기준이었구나...
349,똥살사람 머독 저요!!
350,나까지만~
351,기준!
352,@min._.hyung75 비키니..ㅇㅈ??👙
353,@zzi._.yni 아니 제발 가짜사나이 봐줘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이 사진 존나 웃기다고ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ큐ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
354,@bbb._.di @hyunding_99 아 ㅋㅋㅋ
355,어머...
356,@pseon0
357,@ys_h02 아 ㅋㅋ𐨛 𐨛 𐨛 𐨛 ㅋ𐨛 𐨛 𐨛 𐨛 ㅋㅋㅋㅋ𐨛 𐨛 𐨛 𐨛 다른것도 봐봐
358,@hyeon_eve 비키니독 이카는게 젤웃김ㅋㅋㅋㅋㅋ
359,이건 또 봐도 웃기네 ㅋㅋ
