,댓글
204,Hope Lia will get better soon. ❤️
205,쥐띠이신데 쥐구름이...ㅋㅋㅋ
206,Looks like the Bat Signal to me 🦇
207,"take care, hope Lia feels better soon❤️❤️❤️❤️❤️"
208,"너희 둘 다 기분이 나아졌으면 좋겠어. 넌 강한 사람이니까 공주님도 강할 거야! 💪💪👸👸 서로가 있어서 좋다, 잘 쉬어라 😴 화이팅! 🙌"
209,"I hope for Lia a speedy recovery and get well soon. I know how u must feel , take care Berry 🙏 . Btw i want to see a cat in that cloud 😁"
210,아이고... 건강조심.
211,ratJAM
212,No way 😁
213,Healt animal Berry is very important
214,"New post is so good 😍, but no comments allowed 😔? F that, I’ll just post here. Miss you a lot dude. Hope you’re doing well and you and Lia are feeling better?"
215,베리님! DM으로 비즈니스 문의 드렸어요~! 확인 한번 부탁드립니당🤝
216,아이고 이뻐라~
217,"Berry likes pizza , confirmed 😁"
218,Both Delicious 🤗❤️
219,Nive photo :)
220,🥰
221,Deliciously beautiful and the pizza looks tasty as well.
222,🧡
223,살짝 핑크머리 하신거 롤에 세라핀 느낌 나요!!
224,당신은 너무 아름다워요!❤️❤️❤️
225,kappa
226,맛있겠다
227,Naughty Berry stole my Pizza slice 🥺
228,Squeezey squeezy fresh juicey 😍🔥❤️berry
229,"without commander🍓👮🏼‍♀️... what should I do??? 😔 waiting in discord for notification... but there is only silence 😶🤐 am I perhaps... am I a bimpa simpa?? 😳👉👈 (Don't worry, enjoy your vacation)"
230,Happy to hear you are enjoying your vacation 😊 ❤️
231,베리베리 하뚜하뚜❤️
232,😍🌸🍓💖
233,You are turning into a really berry? What is this Willy Wonka
234,Have a good vacation Berry 👍 but dont forget us 😁
235,perfect
236,😮😍❤️
237,흠~~ 늘어지고 여유있는 휴식을 즐기고 있구만~. 부럽소~
238,"The original 😍 ,the beautiful 😍 strawBerry 😍🍓😍 have fun on vacation 🥰🍓🥰"
239,Looking Delicious ❤️👍
240,사랑합니다 빛베리님😍
241,여신이 따로 없당
242,😍❤️
243,❤️❤️❤️❤️
244,😳😳😳
245,Be my fairy.... 😍🙏😂
246,@2jangbro 팅커벨이래
247,I beleave i see a oh so beautiful fairey princess 👸 😍❤️
248,❤️
249,@astralny_jack
250,ебал бы и ебал
251,ㅠ😢갠차나여 ? 아프지 마요 ㅠ
252,Chesus Blow My Mind 💘
253,I'm so hard
254,넘 조아
255,❤️❤️❤️❤️❤️
256,하 시부레 ㄹㅈㄷ
257,Nice cosplay 😳😳😳
258,Amazing eyes 👀 sweet smile and lovely heart and soul sweet berry and don't change for no one always stay the happiest and loving and caring and kind hearted and amazing young lady you are sweet berry and loving the outfit
259,세계에서 가장 섹시하고 이쁜 팅커벨
260,cutest tinkerbelle I ever seen
261,u r so hot
