,댓글
218,😍😍😍😍👏👏
219,진짜... 두분 다 얼굴에서 빛이나신다❤️❤️😍
220,얼굴이번쩍번쩍 피부미남 ♥️
221,잘생김 그 자체다....
222,악어림 운동하고 나서 몬가 더 잘생겨졋따
223,와 ㄷㄷ...얼굴에서 빛이..
224,피부 봐봐.. 대박적
225,뽀글머리 잘 어울린다ㅜㅜ 인맥왕이야 악어님
226,남봉인줄 . . .
227,@soo0_03 미친 ... 너무 잘생겼다
228,고생하셨어요 👏👏
229,오늘 너무 수고하셨어요❤️
230,뭐여
231,❤️
232,재훈이형 출세했네 악어님이랑도 사진찍고
233,와 오늘 재밌었다ㅋㅋ
234,촬영? 무슨촬영이요?👍
235,둘다 너무 잘생겼네
236,못봤지만 수고하셨어요!!
237,악어님 잘생겼네요ㅎ ❤️😍
238,개잘생겼따..
239,아빠아들사이인것 같아요ㅋㅋㅋ
240,당연 보러가야지~~~
241,"당연히 보죠,,😍♥️"
242,형님 당연히 보러 가겠습니다
243,🙌.ㅈ.ㄷ.ㄷ.
244,보로갈게요
245,응원하러 갑니다
246,응원 열심히 할게요!!!! 당빠 가지요!!
247,띵님이랑 반대편이네요...ㅠㅠ 팀웤 보고 싶었는데 아쉽네요... 그래도 재밌게 보겠슴당!!!
248,이겨라!🙏
249,보로 갈게요
250,포트리스.. 시작하자마자 뭐지싶어서 바로..삭제..
251,오늘이당...그라탕!?!
252,휴가 잘 보내세요
253,휴가 잘 보내세요
254,"헉 미쳤당 제가 좋아하시는 두분이 이리 알고 있는 사이시라니,, 감격할 따름입니다( ˃̣̣̣̣o˂̣̣̣̣ )"
255,푹 쉬고 생방때 만나여~
256,요즘 인스타 들어오는 맛으로 살아요♡
257,두분다 너무 이쁘시고 잘생기신거 아니냐고!!남은 휴가 잘 보내시고 본방때 뵈여!!
258,선남선녀다❤️❤️
259,아빠 잘생겼어요~~
260,헉 서아언니ㅠㅠㅠㅠㅠㅠㅠㅠ 악어님 너무 부러워여..
261,악어형 잘생겼어요
262,ㅁㅇㅁㅇ 신한110-×××-×××××
263,❤️
264,화이팅
265,화이팅 운동 열심히 해 형💕
266,악어님은 진짜 너무 타고나셨어요ㅠㅠㅠ진짜 멋있고~ 잘생겼다보단! 예쁘다는 말이 훨씬 더 잘 어울리시는것같애요😍 운동도 열씸히 하시겠지만! 근육 무리안가시게 조심해서 운동하셔요!!👍👍
267,꺄악 잘생겨써..운동 퐈이팅!
268,존잘..
269,나도 운동해야 하는데..
270,대단해..!
271,악어님 너무 잘생기셧어요!!!
272,악어님 브이 하시면 안되요
273,요즘 기술이 너무 좋아져서 지문 복사 가능해졍ᆢ
274,화이팅!🔥
275,먹방 라이브 한번도 못 봤는데 꼭 한번 보고싶어욬ㅋㅋㅠㅋㅋㅋ♡ 먹방 라이브 해주세효♡😍❤️👍ㅋㅋ♡ 악어님 제가 많이 사랑해요😍❤️ㅎㅎ♡♡♡♡♡♡♡
276,진짜 너무 잘생기셨다 두 분다...!!
277,ㅎㄷㄷ
278,악어님 동안 미춰쒀
279,❤️
280,악어님 너무 잘생겼어요
281,Rm하고도 사진을 빅마블님.. 부럽습니다
282,아주 귀여운 진동민 씨 버블팩 광고 촬영 중 ...후기.. 너무 귀여움...
283,악어님
284,아아
285,ㄷㄷ
286,와...얼굴에서 광채들이...😻
287,빅마블형...릴마블...😢
