,댓글
227,사실 저긴 비켄디로 가는 비행기 안이였다고한다 ㅋㅋㅋㅋㅋ
228,언니 전주에 인후동와봐 우리엄마가 미용사야!!❤️❤️
229,지린다아🙌🙌🙌
230,누나 나죽어
231,그대의미모에 내눈이멀었구만그려
232,언니 너무이쁜거 아니냐고..😍
233,차라리 날 죽여줘
234,잘어리시네요👏
235,❤️❤️❤️❤️❤️❤️❤️🙌
236,존예 모냐구..
237,❤️❤️🙌🙌
238,머리 이쁘심.
239,행님 너무 잘어울리십니다
240,커여워 ㅋㅋㅋㅋㅋ❤️❤️
241,ㅋㅋㅋㄱㅇㅇ
242,아버님 너무 귀여우시다ㅋㅋㅋ
243,ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋㅋ귀엽다
244,울음소리 똑같이 따라하는 거 커여워요 아버님 ㅋㅋㅋㅋㅋㅋㅋㅋ
245,ㅋㅋㅋㅋ 두분 다 문 앞에서 시위중ㅋㅋ
246,"강형도귀엽고,도담이도귀여워"
247,❤️❤️❤️
248,ㅋㅋㅋㅋㅋㅋ
249,ㅋㅋㅋㅋㅋㅋ기여워👏
250,😍😍
251,너무 귀여우신것 같아요
252,뚠뚠이요? 누님이요? 이쁘기만 한데..
253,스폰바밥은 어디?..
254,네일 이쁘다 🙌😍
255,손 크~~~~~~~~~~~~따
256,손가락 너무 이뻐요ㅠㅠ❤️
257,앞에 뚱이가 시선강탈 뭐냐구!
258,뚱이 머야
259,이쁘고 커여워요 ㅎㅎ 😍😍
260,난 똥똥인가?
261,ㅠㅠ😢
262,뚱아!!!!!!
263,반지 모야 해명해
264,헐... 진짜 예쁘다
265,여기가 어딘가요?
266,언닌 저 물안에 인어야
267,말라따!
268,언니 픽 미쳤다 😮 아프지 마용 😍
269,비율이 잠뜰님이랑 닮은듯. 좀 널널한 옷을 입어서 그런가?
270,이제 바다까지 섭렵하시는건가😂😂
271,비율ㄷㄷㄷㄷ
272,마델이신가여?
273,.
274,저거 뒤에 고래상어인가요? 어디인지 알려주실수 있나요? 진짜 궁금하네요
275,와아 비율 봐 미쳣네
276,푹 쉬면서 요양하다 오세요😢
277,커엽다
278,빨리 나아!😢😢
279,령 아프지망
280,❤️
281,강형 아프지 말고 건강해❤️❤️❤️🔥🔥😍😍
282,남친짤...
283,🔥🔥
284,😮😮
285,족!!발
286,언니 아프지마 ㅠㅠ
287,😢😢
288,뭐야 다리 완전얇다...부러워오...❤️
289,이모티콘 없에줘잉
290,언니 나죽어ㅓㅓㅓㅓ
291,모델포스 ㄷㄷ
292,역시 강공지주
293,여 신 강 지
294,여윽시 강공지주
295,예쁘다
296,와...비율이..모델이야😍😍
297,강지님 너무 이뿌다
298,어 모델님 인스타 잘못들어왔다
299,다리길이 무엇ㄷㄷ
300,강지페북얼공 ㅌㅌ🔥🔥🔥
301,와 개 예쁘다
302,ㄷㄷ
303,지금은 2년후 감자
304,@miiiin_ys
305,존예
306,준내 쌘 누나
307,와 예쁜데?
308,살짝 눈 보이는데 개이쁘다 😍
309,"분위기가 좋으시네요 ‼️물어 볼게 있는데, 잠시 디엠 가능하신가요~?"
310,왜 강공지주 강공지주 하는지 알 것 같다
311,와 강지님 엄청 예쁘다😍😍❤️❤️
312,😮❤️❤️
313,멋져멋져 역시 정강지여👏👏2021년도 화이팅❤️
314,"뭐야 미친 언니 백만원인줄 알고 한참 세보고 있었잖아요,, 너무 멋져🥺"
315,❤️
316,강지님 방송 오래오래 하시면 좋겠어용❤️
317,형 정말로 멋지다
318,👏
319,천마넌.....
320,멋있쒀어
321,강형머시써1000마넌이라니
322,천마넌...
323,부자당
324,맛있겠다..❤️
325,강수다~
326,오우 맛있어보인다🙌🔥❤️
327,맛있겠당
328,크으😍😍
329,올해산타는 1월9일날 온데여강지님 2주 격리하고 온데여!!!!!
330,ㅎ흐ㅡ 강지언니 인스타만 보면 힐링뎀
331,한 입만 줘 형..
332,맛있겠다
333,애그 프라이 같네여
334,와우...ㅁㅅㄱㄸ
335,언니 나도 줘...!
336,커엽누 ㅜㅠㅠ 도담아 이언니가 아낀다 (야몽이두)
337,너무 귀여워여😍😍..저히 강아지는 말로만 듯던 미친강아지....
338,나만 고양이없어ㅠㅠ
339,샴은 언제나 짜릿해... 왜 이렇게 사랑스럽죠??
340,도담쓰 너무 귀엽당
341,모유 넘 기엽자누
342,우리 귀여운 도담잉😍😍
343,도담이 귀엽네
344,나만 고양이없어 ㅠ
345,도담이 귀엽다
346,도담이 너무 예쁘게 생겼다
347,도담이 진짜..너무 커여워 ㅠㅠㅠㅠㅠ❤️❤️❤️
348,업계포상
349,가면 강지님이랑 어울리는것 같ㅇ..읍..
350,미쳣눜ㅋㅋㅋㅋㅋ
351,ㅗㅋㅌ
352,ㅗ
353,저건 산을 표현한 수화인가?
354,.......................?
355,오우 나쁜거
356,뭐야..겁나 자연스럽네ㅋㅋㅋ
357,강형 왜그래..
358,추워도 법규는 날리는 감자님...ㅋㅋㅋ
359,ㅗㅜㅑ 포상 헤응......❤️❤️❤️
