,댓글
307,@u.uxjin 진짜 대학에서 인기 ㅈㄴ 많게 생긴 복학생 오빠같지 않어? ㅅㅂ 울학교에 저런 사람 있으면 달려가서 키갈할겨
308,@songlungddungddang 귀여워
309,ㅋ귀여워
310,아 존나 좋아
311,@_millenniumtomboy 넘 기엽다..............................ㅠ 개조아.....................
312,모임~??
313,😲오킹마려워려워😲.....😅
314,올때는 걸어오는거죠?
315,이번엔 잃어버린거 없져?!
316,나두
317,"주머니에 뭐가 그리 한가득이예요 ....,?"
318,뉴욕이든 머든 다 데려다드릴게여..
319,오병장님 위수 지역이탈 입니다!
320,플라이트클럽인가??
321,이때 왜케 말랐어 ㄷㄷㄷㄷ
322,???: 우리 아버지 미국 가셨어!
323,와 마지막 신발 판매장 지린다....
324,귀여워ㅠㅠㅜㅜㅠ
325,@znooyk 얔ㅋㅋㅋㅋㅌㅋ
326,@so_naknoon 하 이게 오킹ㅋㅋㅋㅋㅋㅌㅌㅋㅋㅋ너웃경
327,ㅇㅣ사함 너무 기여어... @ji__hey
328,책임..지..고..싶..어.. 나의 천사..
329,@lullulala._ 존나 귀엽다 !
330,@song_835 이거 조금 너 있는@듯
331,사랑스럽다
332,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
333,@uoas_ 잘생겼어2ㅠㅠㅠ
334,"@jii_suu0 잘생겼어 지수야 ,,"
335,=͟͟͞͞개=͟͟͞͞웃=͟͟͞͞겨 ㅜ❤️
336,tu é mais foda que o ninja ❤️
337,월킹
338,친구가 아니라 구독자 스트리머 관계잖아 형
339,우아.. 머리색 이쁘다..
340,"@1_zero_4 이표정 졸귀임,,"
341,와 너무 귀여워 사랑스럽다😍😍😍
342,닌자혀엉
343,트월킹😮
344,ㅋㅋㅋㅋㅋ오킹 얼굴만봐도웃기다 아니 웃기다는게 아니고요
345,닌자 미쳤누
346,요건 몰랐네...
347,요기있다!
348,띵철좌 귀엽닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
349,형 존잘이야;;
350,aí sim em
351,형 올때 재밌는 썰 부탁해🙇🏼‍♂️🙇🏼‍♂️
352,너무잘생겼어요ㅠㅠㅠ
353,❤️
354,"사랑해,."
355,"하 개귀여워,,,,"
356,ㅠㅠㅠㅠㅠㅠㅠ ❤❤
357,그와중에 lg눈에띄넼ㅋㅋ
358,크으.....LG
359,@___se_ccl
