,댓글
195,와..무슨 실시간 교통정보 봐도 되겠다
196,캐롤리얼북122장말씀...
197,와! 음악가!
198,122장은 진리였습니다
199,우와 누가봐도 매력 조
200,선정리 ㅎㄷㄷ
201,크리스마스가 기대되네요
202,하 너무멋지다진짜 가히리 웅장하다 멋지다 응원합니다 멋지당 ㅠㅠㅜ
203,헐헐헐헐 오늘 9시였나요ㅠㅜ 미쳐따 낼 수능 끝나고 다시보기 해야겠다
204,조매력님 저 혹시 다이나믹 마이크 몇개만 추천해주실수있으신가요?
205,멤버부터가 화려하군
206,"머싯썽,,👏👏😍"
207,에 폰을 냅니다 ㅜㅜㅜㅜㅜ
208,오른쪽 서계신분이 대표님이시고 키보드가 실장님이시고 챠밍조님이 매니저....인거죠?
209,30대 직장인 동호회 이런 분위기..ㅋㅋㅋㅋㅋㅋ
210,😮😍😍
211,ㅋㅋㅋㅋㅋ가히리 도랐다맄ㅋㅋㅋ진짜 중2병 그 시절 갬성 살아날것가튼 그런 느낌..☆
212,"악기로 후려치는 ""히트""맨 집단 조력사무소"
213,가히리는... 못 참지
